resource_name,desc_old
Mcity,"With access to our world-class test facility, mixed-reality testing capabilities, a data engine, and renowned talent, Mcity is your hub for research, development and deployment of next-generation mobility innovations to the real world."
School of Information (SI),"The University of Michigan School of Information (UMSI) delivers innovative, elegant and ethical solutions connecting people, information and technology. The school was one of the first iSchools in the nation and is the premier institution studying and using technology to improve human computer interactions.  

UMSI offers five degrees: a Bachelor of Science in Information (BSI), a Master of Science in Information (MSI), a Master of Health Informatics (MHI), an online Master of Applied Data Science (MADS) and a doctoral degree (PhD). 

UMSI’s programs are broadly interdisciplinary. The faculty comes from many fields, from computer science to law to social networking to public health. The student body is likewise diverse, representing well over 100 majors. 

Each member of the University of Michigan School of Information’s scholarly community comes from a unique background, making the school stronger and helping to fulfill its mission of building a better world through technology and information. The faculty, staff and students reflect the intellectual diversity of the broad range of social and technological sciences that make up the unique UMSI approach to solving information problems.

The Leinweber Computer Science and Information Building is the center of the school’s activities. The 163,000-square-foot, four-story complex houses reconfigurable classrooms, student maker labs, collaboration spaces, research labs and two of the biggest lecture halls on North Campus. UMSI will maintain a presence on Central Campus for undergraduate classes and services in 2025 and beyond."
Department of Statistics,"Our department is recognized as a leader in international statistical education and research. Our programs cater to a broad spectrum of undergraduate and graduate students interested in statistics and data science.
Our faculty members are renowned researchers and devoted educators working on some of today's most interesting and relevant problems. 

We continue to recruit the highest-quality faculty and students and dedicate our attention and resources to producing leaders of the field for the next generation.

The Department and the University welcome those from the international community."
Department of Biostatistics,"The Department of Biostatistics at the University of Michigan School of Public Health is rated as one of the nation's top biostatistics programs by U.S. News & World Report. We bring biostatistical design and analysis expertise to a wide spectrum of health-related issues. Our faculty, students, and staff work in important and diverse areas of current biostatistical research; including Bayesian methods, causal inference, clinical trials, electronic health records, high dimensional inference, image analysis, longitudinal data analysis, machine learning, methods for missing data, mobile health, personalized prevention and treatment, statistical computing, statistical genetics, genomics and bioinformatics, survey research, and survival and event history analysis."
Department of Computational Medicine & Bioinformatics,"The vision of the Gilbert S. Omenn Department of Computational Medicine and Bioinformatics (DCMB) is to advance the understanding of biological mechanisms and to accelerate biomedical discovery and translational research. Learn more about DCMB Research.

DCMB supports biomedical science through the development of powerful computational and biomedical data science methods, including novel Artificial Intelligence (AI) and Machine Learning (ML) approaches.

DCMB trains and mentors the next generation of innovators and leaders in this field, in an interdisciplinary research culture where everyone is valued.
The research focus of the Gilbert S. Omenn Department of Computational Medicine and Bioinformatics (DCMB) is to create novel and impactful informatics and computationally based AI and Machine Learning methods, tools, algorithms, and information resources to enable and extend basic and clinical research discoveries and methods. "
Department of Learning Health Sciences,"The Department of Learning Health Sciences (DLHS) is a first-in-the-nation basic science department focused on the sciences related to learning across multiple levels of scale-individual, group, organization, region and nation.

We work to improve health systematically by advancing the sciences that make learning effective, routine, and efficient. That's because we view learning as a continuous, never-ending process of discovery and implementation, leading to constant improvement and innovation.

As a department, we are committed to achieving three main goals: advancing research, providing education, and offering service programs."
"Trust, Innovation & Ethics Research for Responsible AI (TIERRA)","TIERRA is a collaborative space that seeks to harness the knowledge and power of stakeholders of health AI. Using the diverse expertise of academic faculty and students, industry professionals, policy and decision-makers, and community members, TIERRA aims to create collaborations, research, roadmaps, and resources to inform best practices and policies on the development and application of AI in healthcare settings."
Center for Data-Driven Drug Development and Treatment Assessment (DATA),"The Center for Data-Driven Drug Development and Treatment Assessment (DATA), through the pursuit of its research thrusts, has the potential to greatly enhance the national research infrastructure by increasing the capacity of the engineering/scientific workforce. In particular, DATA will produce new methodologies and infrastructure for industry-wide collaborative drug discovery, yielding new medicines at reduced cost.

The Center will focus on three main areas of unmet/underserved research needs within the (bio)pharmaceutical sector, with the goal of significantly accelerating the pace of drug discovery while reducing research costs:

The development, testing, and validation of machine learning methods for drug discovery and repurposing.
Providing an industry-wide and vendor-agnostic Secure Data Hub for pharmaceutical and patient data with third-party private search capabilities.
Enable federated machine learning for drug repositioning over encrypted databases. Enabling these research thrusts are new developments in efficient fully homomorphic encryption and applications of coupled tensor-matrix and tensor-tensor completion methods to drug discovery and repurposing."
"Center for Prediction, Reasoning & Intelligence for Multiphysics Exploration (C-PRIME)","The vision of C-PRIME is to revolutionize predictive science by unraveling and leveraging the critical influence of small scales on emergent behaviors across various physical regimes. Our target application is a rotating detonation combustor (RDC)  which is a multiphysics, multiscale problem with a rich set of science challenges. We aim to transform how complex applications, from non-equilibrium multimaterial interface evolution to turbulence, are investigated by developing sophisticated autonomous artificial intelligence (AI) agents leveraging new inner- and outer-loop algorithms. These AI-driven frameworks will systematically refine the combinations of physics, simulations, algorithms, and computing infrastructure, significantly reducing the time from initial scientific inquiries to actionable predictive insights. "
Center for Complex Particle Systems (COMPASS),"
Our center is dedicated to the creation, measurement, and modeling of complex materials, combining molecular, nano, and microscale components. By integrating both order and disorder, we establish simple chemical pathways that lead to the development of sustainable, multifunctional, and intelligent materials aimed at promoting a healthy future.

Our work bridges the fields of graph theory, network physics, particle science, and evolutionary principles to lay the foundation for innovative engineering and cultivate a diverse, global community of practitioners. This interdisciplinary approach ensures that we build robust connections between theoretical concepts and practical applications.

Through a system-based approach to complex dynamic matter, we seek solutions to the technological, medical, and environmental challenges of today and tomorrow. Our mission is to quantify and simplify the intricacies of systems composed of heterogeneous, interactive components, contributing to groundbreaking advancements and sustainable solutions."
