resource_name,desc_old
"Science, Technology, and Public Policy (STPP) Program","University of Michigan’s Science, Technology, and Public Policy (STPP) Program is dedicated to advancing the public interest, and specifically social equity and justice, in the development and governance of science and technology through education, research, and community and policy engagement. STPP's work in AI cuts across all three of our main areas of work: education, research, and community partnerships. Our students learn how to critically evaluate the use of AI for considerations such as equity, community impact, and environmental impact. Our research illuminates the social, political, and justice implications of cutting edge AI tools. In our partnerships, we provide non-profits, government agencies, and advocacy organizations with the resources they need to make decisions about AI and advocate for their communities."
AI Institutes at Michigan (AIIM),"The AI Institutes at Michigan is the connective architecture that makes the University of Michigan's extraordinary AI ecosystem work as one for researchers, for partners, and for society."
Michigan Institute for Data & AI in Society,"The Michigan Institute for Data and AI in Society (MIDAS) advances data science and AI and enables their transformative use across disciplines to achieve lasting scientific and societal impact. With more than 700 affiliated faculty members from all schools and colleges at the U-M Ann Arbor campus, as well as from U-M Dearborn and U-M Flint, MIDAS is one of the largest data science and AI institutes at a U.S. university. MIDAS is also home to a vibrant community of more than 1,000 students and postdocs and 180 staff scientists who collaborate across 70 campus units through the Staff Collective for Data Science. Faculty, staff, and students help shape and lead MIDAS programs, driving innovation and advancing the impact of data science and AI through partnerships across U-M and beyond. MIDAS offers a comprehensive portfolio of research, training, and partnership development programs."
AI Connections,"AIConnections.umich.edu is Michigan‚Äôs social AI research network, designed to connect AI scholars, including faculty, students, postdocs, and alumni, with company collaborators and partners across the broader AI ecosystem. The platform helps members of the Michigan AI community discover one another, identify shared interests, form interdisciplinary and industry partnerships, and strengthen Michigan‚Äôs collective AI network. Sign up at aiconnections.umich.edu/register. Once your U-M affiliation is verified, you will be admitted into the system."
Human Centered Computing Lab,"The Human Centered Computing (HCC) group at the University of Michigan investigates Human Computer Interaction (HCI), Educational Technology, Multimedia, and Social Computing. HCI is a large and diverse field and the faculty cover many important areas, including strengths in the fundamentals of HCI as well as exciting new technologies and services."
Schmidt AI in Science Postdoctoral Fellowship,"This program, funded by Schmidt Sciences, provides outstanding early-career researchers with intensive training and experience in the application of Artificial Intelligence (AI) methodologies for scientific research.
Specifically, these programs will:
Catalyze creative and transformative applications of AI with the potential to lead to major scientific breakthroughs carried out by the Fellows and their mentors
Enable a broader U-M research community to adopt AI in supporting research applications across a range of science and engineering domains
Provide outstanding training to program Fellows
Collaborate with other sites to maximize the impact of the program
"
Center for Academic Innovation,"The University of Michigan Center for Academic Innovation is committed to bringing educational opportunities from the university to a global network of lifelong learners.
Through curricular innovation, tools for student success and equity, and innovative technologies, the center is building the future of education.
Online, hybrid, and blended learning programs, including for-credit and non-credit offerings. CAI offers learning experience design, media design, learner support, market research, and portfolio planning services to create, launch, and support learning experiences.

Educational technology tools and platforms. CAI supports Atlas, which empowers people to chart their own academic pathways at the University of Michigan, and other tools that enhance student success for students and global learners.

Innovative technology. CAI works with partners to integrate innovative technological solutions into teaching and learning. This includes artificial intelligence tools and integrated extended reality experiences

Education and innovation policy: CAI offers policy development guidance and regulatory compliance support in service of learning innovation and student success programs and initiatives. CAI contributes expertise to campus efforts on digital privacy, vendor licensing, and analytics data governance."
Deep Blue Repositories,"Our repositories give you safe and durable access to the work that makes the University of Michigan a leader in research, teaching, learning, and creativity, whether that work is in the form of documents or data."
ICPSR,"ICPSR is an international consortium of 800+ academic and research bodies. We provide leadership and training in data access, curation, and analytical methods for social science. Collaborating with funders, including federal US agencies, ICPSR develops themed data collections and projects. Our research delves into digital curation challenges and policy initiatives. We established the Summer Program in Quantitative Methods in 1963, educating tens of thousands of researchers in introductory to advanced training in statistics, data analysis, and quantitative research methods."
Michigan Robotics,"The Robotics Department at the University of Michigan is creating the next generation of robotics and roboticists as force-multipliers for the benefit of society.
Michigan Robotics research spans foundational methods and real-world applications.

Core areas advance the underlying science of robotics, while application areas bring these capabilities to specific domains and challenges. Many projects draw on multiple core areas and often include an application area. This interconnected research is what makes the field of robotics so dynamic and open to aspiring experts in multiple domains."
